Team,TEAM_NAME,GP,W,L,W_PCT,score,clutch_mins,clutch_potential,CLUTCH_SCORE
OKC,Oklahoma City Thunder,34,24,10,0.706,14.6463379356762,145.125,22,14.740314582587397
DET,Detroit Pistons,41,27,14,0.659,11.690525947074793,154.201667,24,12.50405659912229
PHI,Philadelphia 76ers,40,23,17,0.575,11.952460027123841,173.973333,28,12.472664515596207
SAS,San Antonio Spurs,35,24,11,0.686,15.2502601855105,118.453333,10,12.461678487260205
LAL,Los Angeles Lakers,29,22,7,0.759,15.52319422111542,92.955,2,12.182104413826604
ORL,Orlando Magic,40,25,15,0.625,10.212005365256694,173.856667,27,11.782503353285435
DEN,Denver Nuggets,40,21,19,0.525,10.381439089192915,185.593333,29,11.25025552182628
CLE,Cleveland Cavaliers,40,22,18,0.55,14.857517800406658,126.876667,15,11.171634790223662
CHI,Chicago Bulls,39,20,19,0.513,10.672417244315799,159.415,25,10.474950046334005
HOU,Houston Rockets,42,20,22,0.476,8.712200805655677,189.776667,30,10.147007583492101
MIL,Milwaukee Bucks,35,19,16,0.543,11.238345498517386,128.041667,17,9.502421605694941
POR,Portland Trail Blazers,42,21,21,0.5,10.653260891260913,140.213333,20,9.326630445630457
NYK,New York Knicks,32,19,13,0.594,12.69961356275481,113.676667,8,9.143570456276356
GSW,Golden State Warriors,35,16,19,0.457,11.191553676074417,135.22,19,8.914540029966009
PHX,Phoenix Suns,36,17,19,0.472,9.26497124153436,141.405,21,8.573066426004218
DAL,Dallas Mavericks,43,16,27,0.372,8.466092216430093,169.988333,26,8.349386304511995
ATL,Atlanta Hawks,33,17,16,0.515,10.414829121081329,124.786667,14,8.163636997356885
TOR,Toronto Raptors,35,21,14,0.6,9.59380907757405,122.036667,11,7.95628544654443
MIN,Minnesota Timberwolves,31,17,14,0.548,10.558993605347537,117.743333,9,7.58632849573045
UTA,Utah Jazz,34,13,21,0.382,9.87925608068166,127.64,16,6.9738758228203945
MEM,Memphis Grizzlies,38,14,24,0.368,8.86882516056018,132.893333,18,6.8637276590861465
MIA,Miami Heat,33,17,16,0.515,11.388089126568035,103.241667,4,6.664865900182538
LAC,LA Clippers,31,14,17,0.452,8.87297617815193,124.325,13,6.610585232524672
BOS,Boston Celtics,31,15,16,0.484,11.40088040165037,103.861667,5,6.518026114398779
SAC,Sacramento Kings,31,14,17,0.452,10.974967184782361,112.753333,7,6.360685167521627
NOP,New Orleans Pelicans,39,12,27,0.308,5.673199344049028,146.711667,23,6.3473453979671
WAS,Washington Wizards,25,12,13,0.48,9.430534666479954,90.236667,1,4.726656639910377
IND,Indiana Pacers,34,11,23,0.324,6.411270984926273,123.458333,12,4.477251799116113
CHA,Charlotte Hornets,28,10,18,0.357,8.325695116546633,109.968333,6,4.172273156607148
BKN,Brooklyn Nets,32,6,26,0.188,5.704013469148012,100.811667,3,1.6723545321998263
