SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,AVAILABLE_FLAG
2025-26,1610612760,OKC,Oklahoma City Thunder,0022501116,2026-04-02T00:00:00,OKC vs. LAL,1,48.0,132.7,135.0,95.2,93.2,37.6,41.7,0.582,3.2,21.1,0.34,0.796,0.566,0.097,0.632,0.645,102.8,103.0,85.83,103,0.649,1,1,1,1,105,92,80,13,1683,201,509,724,215,253,265,226,351,599,98,1
2025-26,1610612766,CHA,Charlotte Hornets,0022501114,2026-04-02T00:00:00,CHA vs. PHX,1,48.0,125.0,132.3,108.7,112.6,16.3,19.7,0.563,2.08,19.1,0.435,0.745,0.598,0.135,0.613,0.638,100.0,95.5,79.58,96,0.62,1,1,1,1,105,146,984,253,1831,858,986,110,620,75,979,354,416,1873,188,1
2025-26,1610612759,SAS,San Antonio Spurs,0022501119,2026-04-02T00:00:00,SAS @ LAC,1,48.0,117.8,120.4,98.1,100.0,19.7,20.4,0.638,1.88,21.4,0.279,0.759,0.546,0.163,0.602,0.627,100.5,98.5,82.08,98,0.609,1,1,1,1,105,721,200,235,1138,1095,410,1409,498,451,1586,433,517,1415,226,1
2025-26,1610612757,POR,Portland Trail Blazers,0022501118,2026-04-02T00:00:00,POR vs. NOP,1,48.0,115.8,116.8,103.5,107.1,12.3,9.8,0.643,1.69,18.5,0.358,0.702,0.52,0.158,0.565,0.59,102.2,100.0,83.33,101,0.553,1,1,1,1,105,975,604,621,1086,1371,1173,537,1105,818,1495,859,999,1137,639,1
2025-26,1610612765,DET,Detroit Pistons,0022501115,2026-04-02T00:00:00,DET vs. MIN,1,48.0,107.9,109.7,101.9,103.8,6.0,5.9,0.707,1.93,20.0,0.271,0.804,0.545,0.146,0.535,0.572,105.4,103.5,86.25,103,0.544,1,1,1,1,105,1519,393,827,521,1014,745,1484,180,462,1217,1273,1287,535,735,1
2025-26,1610612739,CLE,Cleveland Cavaliers,0022501117,2026-04-02T00:00:00,CLE @ GSW,1,48.0,119.9,116.8,108.0,109.9,11.9,6.9,0.667,1.87,20.0,0.244,0.709,0.5,0.149,0.61,0.631,100.6,101.0,84.17,101,0.537,1,1,1,1,105,975,788,764,816,1106,745,1773,1014,1112,1292,381,473,945,812,1
2025-26,1610612744,GSW,Golden State Warriors,0022501117,2026-04-02T00:00:00,GSW vs. CLE,0,48.0,108.0,109.9,119.9,116.8,-11.9,-6.9,0.61,2.08,17.6,0.291,0.756,0.5,0.119,0.5,0.54,100.6,101.0,84.17,101,0.463,1,1150,1150,1150,105,1506,1316,1532,1422,837,1460,1272,515,1112,615,1708,1730,945,1486,1
2025-26,1610612750,MIN,Minnesota Timberwolves,0022501115,2026-04-02T00:00:00,MIN @ DET,0,48.0,101.9,103.8,107.9,109.7,-6.0,-5.9,0.579,1.57,16.2,0.196,0.729,0.455,0.135,0.517,0.557,105.4,103.5,86.25,104,0.456,1,1150,1150,1150,105,1904,777,1472,1704,1535,1833,2114,805,1822,960,1515,1519,535,1564,1
2025-26,1610612740,NOP,New Orleans Pelicans,0022501118,2026-04-02T00:00:00,NOP @ POR,0,48.0,103.5,107.1,115.8,116.8,-12.3,-9.8,0.658,1.32,18.1,0.298,0.642,0.48,0.192,0.506,0.555,102.2,100.0,83.33,99,0.448,1,1150,1150,1150,105,1689,1316,1678,935,1903,1296,1172,1753,1474,2024,1651,1539,1137,1660,1
2025-26,1610612746,LAC,LA Clippers,0022501119,2026-04-02T00:00:00,LAC vs. SAS,0,48.0,98.1,100.0,117.8,120.4,-19.7,-20.4,0.5,2.0,15.2,0.241,0.721,0.454,0.101,0.457,0.49,100.5,98.5,82.08,99,0.391,1,1150,1150,1150,105,2056,1575,2064,2122,913,2023,1794,884,1845,300,2117,2155,1415,2073,1
2025-26,1610612756,PHX,Phoenix Suns,0022501114,2026-04-02T00:00:00,PHX @ CHA,0,48.0,108.7,112.6,125.0,132.3,-16.3,-19.7,0.524,1.83,16.9,0.255,0.565,0.402,0.126,0.549,0.561,100.0,95.5,79.58,95,0.38,1,1150,1150,1150,105,1310,2152,2046,2054,1169,1636,1664,2185,2221,753,1072,1453,1873,2111,1
2025-26,1610612747,LAL,Los Angeles Lakers,0022501116,2026-04-02T00:00:00,LAL @ OKC,0,48.0,95.2,93.2,132.7,135.0,-37.6,-41.7,0.588,1.11,15.0,0.204,0.66,0.434,0.175,0.475,0.528,102.8,103.0,85.83,103,0.351,1,1150,1150,1150,105,2219,2205,2286,1631,2126,2037,2077,1567,2041,1796,1989,1873,599,2201,1
2025-26,1610612737,ATL,Atlanta Hawks,0022501107,2026-04-01T00:00:00,ATL @ ORL,1,48.0,118.3,121.5,89.7,96.2,28.6,25.3,0.574,1.59,18.1,0.313,0.768,0.558,0.159,0.592,0.626,111.3,106.0,88.33,107,0.637,1,1,1,1,105,646,131,136,1745,1508,1289,1004,421,338,1511,538,526,259,125,1
2025-26,1610612754,IND,Indiana Pacers,0022501109,2026-04-01T00:00:00,IND @ CHI,1,48.0,130.2,134.3,110.1,114.5,20.1,19.7,0.845,3.5,29.0,0.273,0.623,0.464,0.13,0.667,0.681,112.9,109.0,90.83,108,0.615,1,1,1,1,105,104,1128,251,19,126,2,1465,1915,1690,831,82,117,69,207,1
2025-26,1610612738,BOS,Boston Celtics,0022501106,2026-04-01T00:00:00,BOS @ MIA,1,48.0,143.0,151.5,126.3,130.3,16.7,21.2,0.607,3.78,23.0,0.378,0.673,0.54,0.093,0.693,0.701,102.5,98.0,81.67,97,0.589,1,1,1,1,105,3,2102,215,1453,95,183,366,1445,549,203,27,61,1499,332,1
2025-26,1610612752,NYK,New York Knicks,0022501003,2026-04-01T00:00:00,NYK @ MEM,1,48.0,134.6,136.8,122.4,126.6,12.2,10.2,0.75,1.89,23.4,0.571,0.732,0.651,0.2,0.626,0.666,96.9,94.5,78.75,95,0.582,1,1,1,1,105,60,1939,593,237,1079,140,1,780,7,2099,267,195,1993,384,1
2025-26,1610612755,PHI,Philadelphia 76ers,0022501105,2026-04-01T00:00:00,PHI @ WAS,1,48.0,142.9,147.1,120.8,124.8,22.2,22.4,0.607,3.36,23.9,0.35,0.708,0.545,0.106,0.702,0.721,107.8,104.5,87.08,104,0.576,1,1,1,1,105,9,1835,191,1455,162,94,633,1028,462,382,17,22,421,428,1
2025-26,1610612745,HOU,Houston Rockets,0022501110,2026-04-01T00:00:00,HOU vs. MIL,1,48.0,128.4,125.3,117.7,121.5,10.7,3.8,0.732,3.75,21.4,0.333,0.64,0.49,0.084,0.575,0.615,94.4,94.0,78.33,95,0.571,1,1,1,1,105,429,1654,968,345,100,410,761,1765,1322,133,742,654,2047,467,1
2025-26,1610612743,DEN,Denver Nuggets,0022501112,2026-04-01T00:00:00,DEN @ UTA,1,48.0,121.9,121.5,110.4,109.3,11.5,12.1,0.682,2.14,19.6,0.32,0.768,0.557,0.131,0.571,0.621,106.3,107.0,89.17,107,0.565,1,1,1,1,105,646,758,504,726,792,862,922,421,353,853,777,587,173,519,1
2025-26,1610612759,SAS,San Antonio Spurs,0022501113,2026-04-01T00:00:00,SAS @ GSW,1,48.0,117.4,125.7,110.9,111.9,6.5,13.9,0.773,2.27,21.8,0.389,0.783,0.57,0.149,0.554,0.598,105.1,101.0,84.17,101,0.56,1,1,1,1,105,402,923,442,135,672,343,297,301,224,1292,1009,887,945,569,1
2025-26,1610612761,TOR,Toronto Raptors,0022501108,2026-04-01T00:00:00,TOR vs. SAC,0,48.0,118.5,117.3,123.3,126.8,-4.8,-9.5,0.786,3.0,23.7,0.238,0.549,0.409,0.112,0.604,0.631,98.4,97.5,81.25,98,0.514,1,1150,1150,1150,105,935,1955,1666,102,238,101,1822,2219,2198,490,422,474,1565,1036,1
2025-26,1610612758,SAC,Sacramento Kings,0022501108,2026-04-01T00:00:00,SAC @ TOR,1,48.0,123.3,126.8,118.5,117.3,4.8,9.5,0.571,1.71,16.7,0.451,0.762,0.591,0.144,0.522,0.587,98.4,97.5,81.25,97,0.486,1,1,1,1,105,342,1356,633,1751,1327,1702,77,473,99,1186,1467,1049,1565,1263,1
2025-26,1610612744,GSW,Golden State Warriors,0022501113,2026-04-01T00:00:00,GSW vs. SAS,0,48.0,110.9,111.9,117.4,125.7,-6.5,-13.9,0.69,1.93,20.7,0.217,0.611,0.43,0.149,0.57,0.602,105.1,101.0,84.17,101,0.44,1,1150,1150,1150,105,1371,1892,1856,646,1014,580,1990,1995,2073,1292,797,821,945,1730,1
2025-26,1610612762,UTA,Utah Jazz,0022501112,2026-04-01T00:00:00,UTA vs. DEN,0,48.0,110.4,109.3,121.9,121.5,-11.5,-12.1,0.727,2.67,21.1,0.232,0.68,0.443,0.112,0.526,0.552,106.3,107.0,89.17,107,0.435,1,1150,1150,1150,105,1539,1649,1794,376,376,509,1870,1364,1945,484,1394,1595,173,1780,1
2025-26,1610612749,MIL,Milwaukee Bucks,0022501110,2026-04-01T00:00:00,MIL @ HOU,0,48.0,117.7,121.5,128.4,125.3,-10.7,-3.8,0.5,1.4,15.9,0.36,0.667,0.51,0.161,0.567,0.588,94.4,94.0,78.33,93,0.429,1,1150,1150,1150,105,642,1865,1331,2122,1795,1881,525,1467,969,1554,828,1027,2047,1829,1
2025-26,1610612764,WAS,Washington Wizards,0022501105,2026-04-01T00:00:00,WAS vs. PHI,0,48.0,120.8,124.8,142.9,147.1,-22.2,-22.4,0.64,2.67,21.2,0.292,0.65,0.455,0.114,0.604,0.633,107.8,104.5,87.08,105,0.424,1,1150,1150,1150,105,460,2290,2108,1123,376,469,1258,1655,1822,529,419,455,421,1871,1
2025-26,1610612763,MEM,Memphis Grizzlies,0022501003,2026-04-01T00:00:00,MEM vs. NYK,0,48.0,122.4,126.6,134.6,136.8,-12.2,-10.2,0.692,1.93,20.6,0.268,0.429,0.349,0.149,0.618,0.667,96.9,94.5,78.75,94,0.418,1,1150,1150,1150,105,359,2238,1706,636,1032,604,1511,2298,2292,1313,315,194,1993,1915,1
2025-26,1610612748,MIA,Miami Heat,0022501106,2026-04-01T00:00:00,MIA vs. BOS,0,48.0,126.3,130.3,143.0,151.5,-16.7,-21.2,0.614,3.0,18.8,0.327,0.622,0.46,0.091,0.589,0.614,102.5,98.0,81.67,99,0.411,1,1150,1150,1150,105,195,2296,2084,1380,238,1098,841,1928,1743,177,586,677,1499,1967,1
2025-26,1610612741,CHI,Chicago Bulls,0022501109,2026-04-01T00:00:00,CHI vs. IND,0,48.0,110.1,114.5,130.2,134.3,-20.1,-19.7,0.468,1.1,14.6,0.377,0.727,0.536,0.182,0.552,0.581,112.9,109.0,90.83,110,0.385,1,1150,1150,1150,105,1170,2195,2048,2227,2143,2106,372,819,607,1910,1049,1146,69,2092,1
2025-26,1610612753,ORL,Orlando Magic,0022501107,2026-04-01T00:00:00,ORL vs. ATL,0,48.0,89.7,96.2,118.3,121.5,-28.6,-25.3,0.829,1.53,19.7,0.232,0.688,0.442,0.181,0.432,0.497,111.3,106.0,88.33,105,0.363,1,1150,1150,1150,105,2165,1649,2163,35,1622,826,1870,1283,1952,1897,2211,2128,259,2174,1
2025-26,1610612766,CHA,Charlotte Hornets,0022501100,2026-03-31T00:00:00,CHA @ BKN,1,48.0,119.4,123.2,89.7,90.5,29.7,32.6,0.683,2.15,20.0,0.383,0.804,0.591,0.137,0.54,0.597,96.9,95.0,79.17,95,0.678,1,1,1,1,105,549,43,54,708,779,745,334,174,99,1006,1207,903,1941,54,1
2025-26,1610612749,MIL,Milwaukee Bucks,0022500652,2026-03-31T00:00:00,MIL vs. DAL,1,48.0,112.4,111.8,91.4,90.8,21.0,21.0,0.683,1.56,18.4,0.278,0.773,0.55,0.164,0.554,0.595,108.9,109.5,91.25,110,0.63,1,1,1,1,105,1380,50,224,708,1570,1207,1418,381,403,1604,998,941,59,151,1
2025-26,1610612745,HOU,Houston Rockets,0022501102,2026-03-31T00:00:00,HOU vs. NYK,1,48.0,124.7,127.6,103.3,105.6,21.4,22.0,0.833,3.5,26.9,0.211,0.64,0.455,0.115,0.635,0.653,90.0,88.0,73.33,87,0.615,1,1,1,1,105,302,508,202,29,126,7,2040,1765,1822,552,214,283,2287,206,1
2025-26,1610612747,LAL,Los Angeles Lakers,0022501103,2026-03-31T00:00:00,LAL vs. CLE,1,48.0,129.0,129.6,114.9,116.5,14.1,13.1,0.578,2.17,19.0,0.325,0.702,0.529,0.122,0.62,0.672,98.4,97.5,81.25,98,0.577,1,1,1,1,105,224,1283,469,1717,764,1038,888,1105,691,669,299,166,1565,416,1
2025-26,1610612753,ORL,Orlando Magic,0022501099,2026-03-31T00:00:00,ORL vs. PHX,1,48.0,101.7,106.5,98.8,101.8,3.0,4.6,0.686,0.96,16.4,0.292,0.719,0.524,0.231,0.506,0.593,112.7,108.5,90.42,108,0.568,1,1,1,1,105,1737,279,903,688,2217,1772,1258,900,755,2264,1633,971,87,505,1
2025-26,1610612765,DET,Detroit Pistons,0022501101,2026-03-31T00:00:00,DET vs. TOR,1,48.0,126.7,128.3,113.0,116.0,13.7,12.3,0.75,1.57,23.6,0.258,0.633,0.488,0.212,0.692,0.737,101.4,99.5,82.92,99,0.557,1,1,1,1,105,272,1240,500,237,1535,122,1631,1835,1363,2196,28,9,1231,590,1
