Team,SeasonWin%,SeasonWinRank,Shooting_7,Score_7,Rank_7,Shooting_8,Score_8,Rank_8,Shooting_9,Score_9,Rank_9,Shooting_10,Score_10,Rank_10,avg_score,avg_shooting,avg_rank,SeasonPull,SeasonShooting,HUSTLE_SCORE,CLUTCH_SCORE,ShootingPull,SCHS
CHA,0.53,15,7.44,2082.97,2,18.71,0.91,2,16.94,1963.28,4,19.07,0.83,3,0.87,0.63,2.75,0.12,0.6,0.71,0.19,0.75,5.63
PHX,0.55,14,15.69,1617.61,12,10.53,0.58,13,11.0,1308.09,15,13.15,0.52,17,0.58,0.45,14.25,0.64,0.34,0.08,0.52,0.59,3.99
Team,SeasonWin%,SeasonWinRank,Shooting_7,Score_7,Rank_7,Shooting_8,Score_8,Rank_8,Shooting_9,Score_9,Rank_9,Shooting_10,Score_10,Rank_10,avg_score,avg_shooting,avg_rank,SeasonPull,SeasonShooting,HUSTLE_SCORE,CLUTCH_SCORE,ShootingPull,SCHS
DET,0.72,3,14.97,1820.32,6,15.57,0.81,4,16.72,1950.65,5,18.06,0.77,5,0.8,0.67,5.0,0.72,0.57,0.79,0.79,0.66,5.7
MIN,0.61,10,25.35,1674.36,11,8.15,0.62,12,10.84,1527.69,11,14.37,0.57,15,0.64,0.58,12.25,0.73,0.69,0.52,0.46,0.91,4.96
Team,SeasonWin%,SeasonWinRank,Shooting_7,Score_7,Rank_7,Shooting_8,Score_8,Rank_8,Shooting_9,Score_9,Rank_9,Shooting_10,Score_10,Rank_10,avg_score,avg_shooting,avg_rank,SeasonPull,SeasonShooting,HUSTLE_SCORE,CLUTCH_SCORE,ShootingPull,SCHS
OKC,0.79,1,11.53,2021.02,3,15.19,0.83,3,14.91,1996.07,2,16.04,0.83,2,0.85,0.56,2.5,0.69,0.75,1.0,1.0,1.0,6.35
LAL,0.66,5,6.98,1729.6,10,19.7,0.71,7,17.93,1685.24,9,20.24,0.71,8,0.72,0.66,8.5,0.78,0.82,0.02,0.79,0.99,5.75
Team,SeasonWin%,SeasonWinRank,Shooting_7,Score_7,Rank_7,Shooting_8,Score_8,Rank_8,Shooting_9,Score_9,Rank_9,Shooting_10,Score_10,Rank_10,avg_score,avg_shooting,avg_rank,SeasonPull,SeasonShooting,HUSTLE_SCORE,CLUTCH_SCORE,ShootingPull,SCHS
CLE,0.62,9,7.05,1286.7,17,16.34,0.54,15,17.12,1191.83,17,21.55,0.59,12,0.54,0.62,15.25,0.89,0.72,0.57,0.64,0.9,4.92
GSW,0.47,20,19.23,651.6,21,10.68,0.2,22,11.85,614.05,20,13.66,0.26,20,0.23,0.53,20.75,0.66,0.5,0.57,0.55,0.72,2.91
Team,SeasonWin%,SeasonWinRank,Shooting_7,Score_7,Rank_7,Shooting_8,Score_8,Rank_8,Shooting_9,Score_9,Rank_9,Shooting_10,Score_10,Rank_10,avg_score,avg_shooting,avg_rank,SeasonPull,SeasonShooting,HUSTLE_SCORE,CLUTCH_SCORE,ShootingPull,SCHS
POR,0.51,19,16.13,1976.08,4,12.61,0.8,5,13.56,1994.36,3,14.01,0.81,4,0.83,0.54,4.0,0.0,0.32,0.39,0.57,0.48,4.8
NOP,0.33,23,20.29,731.16,20,9.32,0.35,19,9.63,849.04,19,12.35,0.4,18,0.34,0.47,19.0,0.46,0.33,0.37,0.34,0.56,2.79
Team,SeasonWin%,SeasonWinRank,Shooting_7,Score_7,Rank_7,Shooting_8,Score_8,Rank_8,Shooting_9,Score_9,Rank_9,Shooting_10,Score_10,Rank_10,avg_score,avg_shooting,avg_rank,SeasonPull,SeasonShooting,HUSTLE_SCORE,CLUTCH_SCORE,ShootingPull,SCHS
SAS,0.76,2,6.99,2304.9,1,20.14,1.0,1,19.42,2304.63,1,20.97,1.0,1,1.0,0.7,1.0,0.59,0.74,0.43,0.81,0.85,6.93
LAC,0.51,18,8.9,1760.69,9,18.77,0.64,11,18.23,1464.68,12,19.39,0.58,13,0.65,0.67,11.25,0.35,0.67,0.53,0.39,0.8,4.77
