Team,SeasonWin%,SeasonWinRank,Shooting_7,Score_7,Rank_7,Shooting_8,Score_8,Rank_8,Shooting_9,Score_9,Rank_9,Shooting_10,Score_10,Rank_10,avg_score,avg_shooting,avg_rank,SeasonPull,SeasonShooting,HUSTLE_SCORE,CLUTCH_SCORE,ShootingPull,SCHS
NYK,0.63,7,11.96,1138.83,14,14.23,0.53,16,14.47,1202.21,15,16.75,0.66,12,0.56,0.6,14.25,0.96,0.65,0.44,0.56,0.91,4.88
MEM,0.33,23,3.18,27.36,30,7.15,0.04,28,8.7,31.79,30,9.38,0.0,30,0.0,0.19,29.5,0.93,0.37,0.52,0.41,0.98,1.54
Team,SeasonWin%,SeasonWinRank,Shooting_7,Score_7,Rank_7,Shooting_8,Score_8,Rank_8,Shooting_9,Score_9,Rank_9,Shooting_10,Score_10,Rank_10,avg_score,avg_shooting,avg_rank,SeasonPull,SeasonShooting,HUSTLE_SCORE,CLUTCH_SCORE,ShootingPull,SCHS
PHI,0.55,14,21.21,1021.9,17,13.02,0.48,17,13.56,1099.72,16,13.42,0.48,17,0.48,0.66,16.75,0.77,0.4,0.42,0.81,0.51,3.79
WAS,0.23,30,17.01,162.89,27,10.11,0.03,29,12.79,118.62,29,12.79,0.06,29,0.04,0.54,28.5,0.59,0.28,0.34,0.23,0.48,1.22
Team,SeasonWin%,SeasonWinRank,Shooting_7,Score_7,Rank_7,Shooting_8,Score_8,Rank_8,Shooting_9,Score_9,Rank_9,Shooting_10,Score_10,Rank_10,avg_score,avg_shooting,avg_rank,SeasonPull,SeasonShooting,HUSTLE_SCORE,CLUTCH_SCORE,ShootingPull,SCHS
BOS,0.67,4,16.47,1325.26,13,10.14,0.64,12,11.45,1437.44,10,11.32,0.69,11,0.65,0.49,11.5,0.97,0.49,0.47,0.36,0.82,4.93
MIA,0.53,16,14.57,723.32,19,11.82,0.23,22,13.55,552.87,22,13.55,0.31,19,0.27,0.55,20.5,0.84,0.53,0.63,0.37,0.81,3.24
Team,SeasonWin%,SeasonWinRank,Shooting_7,Score_7,Rank_7,Shooting_8,Score_8,Rank_8,Shooting_9,Score_9,Rank_9,Shooting_10,Score_10,Rank_10,avg_score,avg_shooting,avg_rank,SeasonPull,SeasonShooting,HUSTLE_SCORE,CLUTCH_SCORE,ShootingPull,SCHS
ATL,0.57,11,15.18,1341.42,12,17.16,0.67,9,19.1,1487.27,9,19.81,0.8,6,0.69,0.8,9.0,0.56,0.63,0.67,0.5,0.67,5.22
ORL,0.53,15,8.13,498.16,23,8.99,0.21,23,10.31,437.71,24,11.76,0.25,23,0.21,0.34,23.25,1.0,0.38,0.47,0.76,0.82,2.78
Team,SeasonWin%,SeasonWinRank,Shooting_7,Score_7,Rank_7,Shooting_8,Score_8,Rank_8,Shooting_9,Score_9,Rank_9,Shooting_10,Score_10,Rank_10,avg_score,avg_shooting,avg_rank,SeasonPull,SeasonShooting,HUSTLE_SCORE,CLUTCH_SCORE,ShootingPull,SCHS
TOR,0.56,12,8.48,1116.04,16,18.57,0.62,14,20.13,1384.72,12,21.24,0.7,10,0.62,0.76,13.0,0.69,0.47,0.42,0.5,0.49,4.62
SAC,0.25,27,12.29,68.42,29,9.16,0.05,27,12.8,303.04,26,13.82,0.16,26,0.08,0.47,27.0,0.65,0.17,0.18,0.32,0.4,1.29
Team,SeasonWin%,SeasonWinRank,Shooting_7,Score_7,Rank_7,Shooting_8,Score_8,Rank_8,Shooting_9,Score_9,Rank_9,Shooting_10,Score_10,Rank_10,avg_score,avg_shooting,avg_rank,SeasonPull,SeasonShooting,HUSTLE_SCORE,CLUTCH_SCORE,ShootingPull,SCHS
CHI,0.39,22,11.83,413.93,26,14.23,0.28,20,15.08,598.96,21,17.0,0.28,21,0.25,0.61,22.0,0.65,0.54,0.71,0.66,0.75,2.97
IND,0.23,29,13.3,733.15,18,24.08,0.3,19,23.11,625.43,20,22.28,0.28,22,0.29,0.97,19.75,0.26,0.27,0.45,0.22,0.0,2.11
Team,SeasonWin%,SeasonWinRank,Shooting_7,Score_7,Rank_7,Shooting_8,Score_8,Rank_8,Shooting_9,Score_9,Rank_9,Shooting_10,Score_10,Rank_10,avg_score,avg_shooting,avg_rank,SeasonPull,SeasonShooting,HUSTLE_SCORE,CLUTCH_SCORE,ShootingPull,SCHS
HOU,0.61,10,18.23,1676.81,5,15.85,0.74,7,16.15,1494.16,8,15.61,0.73,9,0.74,0.73,7.25,0.53,0.46,0.51,0.63,0.52,5.0
MIL,0.4,21,8.76,69.17,28,8.91,0.0,30,13.47,212.37,27,13.75,0.07,28,0.03,0.42,28.25,0.96,0.53,0.15,0.6,0.94,2.06
